Title,Length.All PlayStyles.Average,Length.All PlayStyles.Leisure,Length.All PlayStyles.Median,Length.All PlayStyles.Polled,Length.All PlayStyles.Rushed,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Median,Length.Completionists.Polled,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Median,Length.Main + Extras.Polled,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Median,Length.Main Story.Polled,Length.Main Story.Rushed,Release.Console,Publisher,Publisher Location,Publisher Established,Notable games published,Publisher Notes,Features.Max Players,Metadata.Genres,Metadata.Publishers,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Rating,Release.Year
Super Mario 64 DS,22.716666666666665,31.9,24.48333333333333,57.0,14.3,29.766666666666666,35.03333333333333,30.0,20.0,22.016666666666666,24.916666666666668,29.966666666666665,25.0,16.0,18.33333333333333,14.333333333333334,18.316666666666663,14.5,21.0,9.7,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,1,Action,Nintendo,85,4.69,24.95,E,2004
Lumines: Puzzle Fusion,10.1,11.016666666666667,10.0,5.0,9.516666666666667,0.0,0.0,0.0,0.0,0.0,9.75,9.866666666666667,9.75,2.0,9.616666666666667,10.333333333333334,11.083333333333334,10.0,3.0,9.583333333333334,Sony PSP,Ubisoft,"Montreuil-sous-Bois, France",1986.0,"*Rayman* series
*Assassin's Creed* series
*Far Cry* series
*Ghost Recon* series
*Splinter Cell* series
*Just Dance* series",video game developer,1,Strategy,Ubisoft,89,0.56,14.95,E,2004
WarioWare Touched!,4.566666666666666,11.566666666666666,2.5,57.0,2.2666666666666666,10.0,14.1,7.25,16.0,6.8,3.85,5.666666666666667,3.333333333333333,11.0,2.783333333333333,1.9166666666666663,2.9333333333333336,1.8333333333333337,30.0,1.4333333333333331,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,2,"Action,Racing / Driving,Sports",Nintendo,81,0.54,22.95,E,2004
Hot Shots Golf: Open Tee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sony PSP,Sony,"San Mateo, California, United States",1993.0,"*Ratchet & Clank* series
*Jak and Daxter* series
*God of War* series
*Killzone* series
*Uncharted* series
*Resistance* series",a.k.a. Sony Interactive Entertainment; publishing under the PlayStation Studios label since 2020,1,Sports,Sony,81,0.49,12.95,E,2004
Spider-Man 2,13.25,48.38333333333333,10.0,37.0,7.066666666666666,72.56666666666666,78.86666666666666,72.56666666666666,2.0,66.28333333333333,12.766666666666667,17.316666666666666,12.5,12.0,10.483333333333333,8.35,11.083333333333334,8.0,23.0,5.333333333333333,Nintendo DS,Activision,"Santa Monica, California, United States",1979.0,"*Call of Duty*
*Guitar Hero*
*Spyro*
*Pitfall!*","video game developer; acquired Neversoft in 1999 and Infinity Ward in 2003; 
acquired several other developers as well; merged with Vivendi to form Activision 
Blizzard in 2008",1,Action,Activision,61,0.45,14.95,E,2004
The Urbz: Sims in the City,21.933333333333337,25.5,20.0,7.0,16.733333333333334,30.03333333333333,30.03333333333333,30.03333333333333,2.0,30.03333333333333,20.83333333333333,25.2,20.0,3.0,16.45,15.5,15.75,15.5,2.0,15.25,Nintendo DS,EA,"Redwood City, California, United States",1982.0,"*Battlefield* series
*Medal of Honor* series
*The Sims* series
*The Need for Speed* series",Electronic Arts; video game developer,1,Simulation,EA,67,0.41,12.95,M,2004
Ridge Racer,0.8166666666666667,1.05,0.8833333333333333,6.0,0.5833333333333334,1.25,1.25,1.25,1.0,1.25,0.8833333333333333,0.9333333333333332,0.8833333333333333,2.0,0.8333333333333334,0.6166666666666667,0.7833333333333333,0.5333333333333333,3.0,0.45,Sony PSP,Namco,"Tokyo, Japan",1955.0,"*Tekken*
*Pac-Man*
*Ace Combat*
*Time Crisis*
*Ridge Racer*","no longer publishes video games; video game division merged with Bandai's 
video game operations as Namco Bandai Games (then Bandai Namco Entertainment)",1,Racing / Driving,Namco,88,0.36,19.95,E,2004
Metal Gear Ac!d,25.383333333333333,51.65,21.266666666666666,18.0,19.166666666666668,80.0,80.0,80.0,1.0,80.0,24.83333333333333,27.48333333333333,25.1,6.0,21.916666666666668,20.7,23.6,20.78333333333333,11.0,17.883333333333333,Sony PSP,Konami,"Tokyo, Japan",1969.0,"*Castlevania*
*Metal Gear*
*Contra*
*International Superstar Soccer*
*Silent Hill*
*Gradius*
*Pro Evolution Soccer*",,1,Strategy,Konami,75,0.34,17.95,E,2004
Madden NFL 2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nintendo DS,EA,"Redwood City, California, United States",1982.0,"*Battlefield* series
*Medal of Honor* series
*The Sims* series
*The Need for Speed* series",Electronic Arts; video game developer,1,Sports,EA,68,0.25,8.95,T,2004
Pokmon Dash,3.8333333333333335,7.25,1.1833333333333331,4.0,1.75,12.0,12.0,12.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.1166666666666667,1.2,1.0833333333333333,3.0,1.05,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,1,Racing / Driving,Nintendo,46,0.22,24.95,T,2004
